state_year,is_after_brady_bill_fed_check_law,has_universal_background_checks,education_attainment,treatnew (21 states),treatyearnew,is_dem_majority,n_pub_mass_shooting_victims,n_pub_mass_shootings,population,unemployed,p_white,p_black,p_asian,p_nativeamerican,p_nonwhite,median_income
Alaska_2006,1,0,26.9,0,0,0,0,0,675302.0,0.0505769,0.6146673,0.0154892,0.0406196,0.2487751,0.3853327,75999
Alaska_2007,1,0,26.0,0,0,0,0,0,680300.0,0.0477607,0.6249608,0.0186345,0.0429064,0.23943,0.3750392,82515
Alaska_2008,1,0,27.3,0,0,0,0,0,687455.0,0.0413197,0.6075413,0.0194815,0.0438335,0.248861,0.3924588,80720
Alaska_2009,1,0,26.6,0,0,0,0,0,698895.0,0.0546694,0.5948583,0.0267926,0.0458417,0.2552269,0.4051417,77982
Alaska_2010,1,0,27.9,0,0,0,0,0,713982.0,0.0587127,0.5877066,0.0247898,0.0511743,0.2587706,0.4122934,72039
Alaska_2011,1,0,26.4,0,0,0,0,0,722349.0,0.0521246,0.5140226,0.015864,0.0446176,0.3484419,0.4859774,69334
Alaska_2012,1,0,28.0,0,0,0,0,0,730810.0,0.0522603,0.5207313,0.0151166,0.0449179,0.3420674,0.4792686,75246
Alaska_2013,1,0,28.57,0,0,0,0,0,737626.0,0.0561648,0.522377,0.019265,0.0428275,0.347955,0.477623,84427
Alaska_2014,1,0,29.14,0,0,0,0,0,737075.0,0.0483277,0.5218801,0.0137027,0.0503905,0.3378518,0.4781199,77473
Alaska_2015,1,0,29.7,0,0,0,0,0,738430.0,0.0468349,0.5260614,0.0213023,0.0568062,0.3157577,0.4739387,85898
Alaska_2016,1,0,29.6,0,0,0,0,0,742575.0,0.0544387,0.5101981,0.01438,0.0500367,0.353485,0.4898019,85494
Alaska_2017,1,0,28.8,0,0,0,0,0,740983.0,0.0443226,0.5072635,0.0146754,0.0483249,0.3375334,0.4927364,86196
Alaska_2018,1,0,30.2,0,0,0,0,0,736624.0,0.0423186,0.5485024,0.016838,0.0514081,0.2965281,0.4514976,74161
Alaska_2019,1,0,31.05,0,0,0,0,0,733603.0,0.0358697,0.5598079,0.0171094,0.0408225,0.300015,0.4401921,83079
Alaska_2020,1,0,31.9,0,0,0,0,0,732923.0,0.0418516,0.5382054,0.0180723,0.0518389,0.2544388,0.4617946,78236
Alaska_2021,1,0,32.8,0,0,0,0,0,734182.0,0.0366557,0.560755,0.0218375,0.0539697,0.2314771,0.439245,81133
Arizona_1984,0,0,17.4,0,0,0,0,0,3067135.0,0.0263543,0.8987622,0.0276515,0.0094293,0.0566614,0.1012379,53362
Arizona_1985,0,0,17.88,0,0,0,0,0,3183538.0,0.027315633333333332,0.8840671999999999,0.027424983333333333,0.010346866666666666,0.057130150000000005,0.11593288333333333,57495
Arizona_1986,0,0,18.36,0,0,0,0,0,3308262.0,0.028276966666666667,0.8693721999999999,0.027198466666666667,0.011264433333333332,0.05759890000000001,0.13062786666666668,60347
Arizona_1987,0,0,18.84,0,0,0,0,0,3437103.0,0.029238300000000002,0.8546771999999999,0.02697195,0.012181999999999998,0.05806765000000001,0.14532285,61198
Arizona_1988,0,0,19.32,0,0,0,0,0,3535183.0,0.030199633333333337,0.8399821999999999,0.026745433333333336,0.013099566666666665,0.058536400000000016,0.16001783333333333,58371
Arizona_1989,0,0,19.8,0,0,0,0,0,3622185.0,0.03116096666666667,0.8252871999999999,0.02651891666666667,0.01401713333333333,0.05900515000000002,0.17471281666666666,60404
Arizona_1990,0,0,20.3,0,0,0,0,0,3679056.0,0.0321223,0.8105922,0.0262924,0.0149347,0.0594739,0.1894078,58921
Arizona_1991,0,0,20.73,0,0,0,9,1,3762394.0,0.03175898,0.81120711,0.02638403,0.01568195,0.05680756,0.18879288,59796
Arizona_1992,0,0,21.16,0,0,0,0,0,3867333.0,0.03139566,0.81182202,0.026475659999999998,0.0164292,0.05414122,0.18817796,55727
Arizona_1993,0,0,21.59,0,0,0,0,0,3993390.0,0.03103234,0.8124369300000001,0.026567289999999997,0.017176450000000003,0.051474879999999994,0.18756304000000001,56490
Arizona_1994,1,0,22.02,0,0,0,0,0,4147560.9999999995,0.030669019999999998,0.8130518400000001,0.026658919999999996,0.017923700000000004,0.04880853999999999,0.18694812000000002,56754
Arizona_1995,1,0,22.45,0,0,0,0,0,4306908.0,0.030305699999999998,0.8136667500000001,0.026750549999999994,0.018670950000000006,0.04614219999999999,0.18633320000000003,54658
Arizona_1996,1,0,22.88,0,0,1,0,0,4432308.0,0.029942379999999998,0.8142816600000001,0.026842179999999993,0.019418200000000007,0.043475859999999984,0.18571828000000004,54575
Arizona_1997,1,0,23.31,0,0,1,0,0,4552207.0,0.029579059999999997,0.8148965700000002,0.026933809999999992,0.02016545000000001,0.04080951999999998,0.18510336000000005,55283
Arizona_1998,1,0,23.74,0,0,1,0,0,4667277.0,0.029215739999999997,0.8155114800000002,0.02702543999999999,0.02091270000000001,0.03814317999999998,0.18448844000000006,61791
Arizona_1999,1,0,24.17,0,0,1,0,0,4778332.0,0.028852419999999997,0.8161263900000002,0.02711706999999999,0.02165995000000001,0.035476839999999975,0.18387352000000007,60348
Arizona_2000,1,0,24.6,0,0,0,0,0,5160586.0,0.0284891,0.8167413,0.0272087,0.0224072,0.0328105,0.1832586,62766
Arizona_2001,1,0,24.4,0,0,0,0,0,5273477.0,0.0292516,0.8011766,0.0243491,0.0184661,0.0335004,0.1988234,65509
Arizona_2002,1,0,26.3,0,0,0,0,0,5396255.0,0.0342944,0.786445,0.0212741,0.0219716,0.0287143,0.213555,60007
Arizona_2003,1,0,26.0,0,0,0,0,0,5510364.0,0.0335738,0.8015152,0.0232474,0.0235068,0.0327435,0.1984848,60789
Arizona_2004,1,0,28.0,0,0,0,0,0,5652404.0,0.0294163,0.795318,0.0267981,0.0276708,0.0338313,0.204682,63043
Arizona_2005,1,0,26.75,0,0,0,0,0,5839077.0,0.0280545,0.7857498,0.0264254,0.0238704,0.0388065,0.2142502,62924
Arizona_2006,1,0,25.5,0,0,0,0,0,6029141.0,0.0227095,0.7853808,0.0283246,0.0252014,0.039804,0.2146192,62850
Arizona_2007,1,0,25.3,0,0,0,0,0,6167681.0,0.0262875,0.7694186,0.030308,0.0273455,0.0546585,0.2305814,61848
Arizona_2008,1,0,25.1,0,0,0,0,0,6280362.0,0.0278514,0.8007182,0.0314425,0.0263077,0.0525991,0.1992818,59180
Arizona_2009,1,0,25.6,0,0,0,0,0,6343154.0,0.0467092,0.8019381,0.0334814,0.0265525,0.053202,0.1980619,57899
Arizona_2010,1,0,25.9,0,0,0,0,0,6407342.0,0.054302,0.7946091,0.0359863,0.0262934,0.0597306,0.2053909,58400
Arizona_2011,1,0,26.6,0,0,0,21,1,6473416.0,0.0499869,0.7589538,0.0351834,0.0277431,0.0950598,0.2410463,58698
Arizona_2012,1,0,27.3,0,0,0,9,2,6556344.0,0.0443551,0.7644552,0.0364091,0.0293578,0.0818713,0.2355448,55616
Arizona_2013,1,0,27.4,0,0,0,0,0,6634690.0,0.0385228,0.769825,0.0362382,0.0308724,0.0774214,0.230175,61290
Arizona_2014,1,0,27.6,0,0,0,0,0,6732873.0,0.0348006,0.7707663,0.0355562,0.03199,0.0768243,0.2292337,56424
Arizona_2015,1,0,27.7,0,0,0,4,1,6832810.0,0.028979,0.7686453,0.0354553,0.031486,0.0732086,0.2313546,59751
Arizona_2016,1,0,28.9,0,0,0,0,0,6944767.0,0.0293722,0.7561771,0.0369163,0.0341823,0.0723705,0.2438229,64468
Arizona_2017,1,0,29.4,0,0,0,0,0,7048088.0,0.0254854,0.761846,0.0350987,0.0359409,0.0764416,0.238154,65984
Arizona_2018,1,0,29.7,0,0,0,11,2,7164228.0,0.0234748,0.774282,0.0393342,0.0332476,0.0685384,0.225718,67201
Arizona_2019,1,0,30.2,0,0,0,0,0,7291843.0,0.022068,0.7882803,0.0363613,0.0328056,0.0607998,0.2117197,74897
Arizona_2020,1,0,33.0,0,0,1,0,0,7179943.0,0.0261566,0.6424142,0.038596,0.0348754,0.0573302,0.3575858,70220
Arizona_2021,1,0,32.4,0,0,1,0,0,7264877.0,0.026621,0.6169257,0.0362205,0.035974,0.0592537,0.3830743,70821
Arkansas_1984,0,0,10.8,0,0,0,0,0,2319768.0,0.0281692,0.8275913,0.163377,0.0028451,0.0058754,0.1724087,39038
Arkansas_1985,0,0,11.22,0,0,0,0,0,2327046.0,0.028576749999999998,0.8293754333333334,0.16087045,0.003051,0.005957333333333334,0.17062456666666667,42021
Arkansas_1986,0,0,11.64,0,0,0,0,0,2331984.0,0.028984299999999998,0.8311595666666667,0.1583639,0.0032569,0.006039266666666667,0.16884043333333335,44325
Arkansas_1987,0,0,12.06,0,0,0,0,0,2342355.0,0.029391849999999997,0.8329437,0.15585735,0.0034628000000000003,0.0061212,0.16705630000000002,43073
Arkansas_1988,0,0,12.48,0,0,0,0,0,2342656.0,0.029799399999999997,0.8347278333333332,0.1533508,0.0036687000000000004,0.006203133333333334,0.1652721666666667,44541
Arkansas_1989,0,0,12.9,0,0,0,0,0,2346358.0,0.030206949999999996,0.8365119666666665,0.15084425,0.0038746000000000006,0.006285066666666667,0.16348803333333337,45343
Arkansas_1990,0,0,13.3,0,0,0,0,0,2354343.0,0.0306145,0.8382961,0.1483377,0.0040805,0.006367,0.1617039,45940
Arkansas_1991,0,0,13.81,0,0,0,0,0,2370666.0,0.03023299,0.83705965,0.14672496,0.00428501,0.0065470400000000005,0.16294035,45590
Arkansas_1992,0,0,14.32,0,0,1,0,0,2394098.0,0.02985148,0.8358232000000001,0.14511222,0.0044895199999999994,0.006727080000000001,0.1641768,45333
Arkansas_1993,0,0,14.83,0,0,1,0,0,2423743.0,0.029469969999999998,0.8345867500000002,0.14349947999999998,0.004694029999999999,0.006907120000000001,0.16541325,42657
Arkansas_1994,1,0,15.34,0,0,1,0,0,2450605.0,0.029088459999999997,0.8333503000000002,0.14188673999999998,0.004898539999999999,0.007087160000000001,0.1666497,46366
Arkansas_1995,1,0,15.85,0,0,1,0,0,2480121.0,0.028706949999999995,0.8321138500000003,0.14027399999999998,0.005103049999999999,0.0072672000000000014,0.16788615,45716
Arkansas_1996,1,0,16.36,0,0,1,0,0,2504858.0,0.028325439999999993,0.8308774000000003,0.13866125999999998,0.0053075599999999985,0.007447240000000002,0.1691226,46788
Arkansas_1997,1,0,16.87,0,0,1,0,0,2524007.0,0.027943929999999992,0.8296409500000004,0.13704851999999998,0.005512069999999998,0.007627280000000002,0.17035905,44175
Arkansas_1998,1,0,17.38,0,0,1,15,1,2538202.0,0.02756241999999999,0.8284045000000004,0.13543577999999998,0.005716579999999998,0.007807320000000002,0.1715955,46089
Arkansas_1999,1,0,17.89,0,0,1,0,0,2551373.0,0.02718090999999999,0.8271680500000005,0.13382303999999998,0.005921089999999998,0.007987360000000002,0.17283195,48418
Arkansas_2000,1,0,18.4,0,0,0,0,0,2678588.0,0.0267994,0.8259316,0.1322103,0.0061256,0.0081674,0.1740684,46853
Arkansas_2001,1,0,18.6,0,0,0,0,0,2691571.0,0.0279079,0.8199521,0.1345413,0.0102051,0.0068729,0.1800479,51143
Arkansas_2002,1,0,18.3,0,0,0,0,0,2705927.0,0.0314142,0.815056,0.1377656,0.0099383,0.0054832,0.184944,48911
Arkansas_2003,1,0,17.4,0,0,0,0,0,2724816.0,0.0313054,0.810289,0.1353438,0.0110613,0.0079307,0.1897109,47257
Arkansas_2004,1,0,18.8,0,0,0,0,0,2749686.0,0.0326611,0.8187199,0.1300965,0.0121657,0.0071241,0.1812801,50301
Arkansas_2005,1,0,17.5,0,0,0,0,0,2781097.0,0.0310595,0.8240812,0.1254425,0.0087229,0.007336,0.1759188,50981
Arkansas_2006,1,0,18.2,0,0,0,0,0,2821761.0,0.0296722,0.8209787,0.1256042,0.0095262,0.0089969,0.1790213,49918
Arkansas_2007,1,0,19.3,0,0,0,0,0,2848650.0,0.0300416,0.8204492,0.1288294,0.0105495,0.0068816,0.1795508,53438
Arkansas_2008,1,0,18.8,0,0,0,0,0,2874554.0,0.0288281,0.8141608,0.1332478,0.0108929,0.0062444,0.1858392,49936
Arkansas_2009,1,0,18.9,0,0,0,5,1,2896843.0,0.0389363,0.814136,0.1304679,0.0110654,0.0070888,0.185864,46252
Arkansas_2010,1,0,19.5,0,0,0,6,1,2921998.0,0.0430033,0.813109,0.1405237,0.0104387,0.0063118,0.1868909,48053
Arkansas_2011,1,0,20.3,0,0,0,0,0,2941038.0,0.037032,0.8057945,0.1487061,0.0095215,0.006121,0.1942055,49862
Arkansas_2012,1,0,21.0,0,0,0,0,0,2952876.0,0.0374692,0.8116274,0.1414933,0.0113263,0.0061251,0.1883726,46128
Arkansas_2013,1,0,20.6,0,0,0,0,0,2960459.0,0.0325775,0.8093677,0.1372039,0.0121997,0.0059478,0.1906323,45872
Arkansas_2014,1,0,21.4,0,0,0,0,0,2968759.0,0.0279887,0.8126596,0.1397392,0.0101808,0.0053117,0.1873404,51461
Arkansas_2015,1,0,21.8,0,0,0,0,0,2979732.0,0.0241851,0.8120925,0.1321736,0.0125992,0.0069921,0.1879074,48944
Arkansas_2016,1,0,22.4,0,0,0,0,0,2991815.0,0.0212507,0.8052975,0.1340586,0.0123653,0.0067908,0.1947025,51830
Arkansas_2017,1,0,23.4,0,0,0,28,1,3003855.0,0.0233836,0.801006,0.1261117,0.0170547,0.0059958,0.198994,54988
Arkansas_2018,1,0,23.3,0,0,0,0,0,3012161.0,0.0199325,0.8178212,0.1168737,0.0135069,0.0067534,0.1821788,53712
Arkansas_2019,1,0,24.1,0,0,0,0,0,3020985.0,0.0201954,0.8222544,0.1194948,0.0126303,0.0053284,0.1777456,57799
Arkansas_2020,1,0,24.9,0,0,0,0,0,3014195.0,0.0257565,0.7423947,0.1266326,0.0163462,0.006936,0.2576053,53148
Arkansas_2021,1,0,25.3,0,0,0,0,0,3028122.0,0.0225624,0.7319468,0.1233943,0.0170383,0.0088186,0.2680532,50784
California_1984,0,0,19.6,0,0,0,57,2,25844393.0,0.0313301,0.846379,0.0770986,0.0565135,0.0098984,0.153621,62981
California_1985,0,0,20.23,0,0,0,0,0,26441109.0,0.03156975,0.8212222166666666,0.0750326,0.06330656666666666,0.009895883333333333,0.17877780000000001,64969
California_1986,0,0,20.86,0,0,0,8,1,27102237.0,0.0318094,0.7960654333333332,0.0729666,0.07009963333333333,0.009893366666666665,0.20393460000000002,68654
California_1987,0,0,21.49,0,0,0,0,0,27777158.0,0.03204905,0.7709086499999999,0.07090060000000001,0.0768927,0.009890849999999998,0.22909140000000003,68969
California_1988,0,0,22.12,0,0,0,11,1,28464249.0,0.032288700000000004,0.7457518666666665,0.06883460000000001,0.08368576666666666,0.00988833333333333,0.25424820000000004,66876
California_1989,0,0,22.75,0,0,0,38,1,29218164.0,0.032528350000000004,0.7205950833333331,0.06676860000000001,0.09047883333333333,0.009885816666666663,0.279405,69833
California_1990,0,0,23.4,0,0,0,0,0,29950111.0,0.032768,0.6954383,0.0647026,0.0972719,0.0098833,0.3045618,67118
California_1991,0,1,23.81,1,0,0,20,1,30414114.0,0.03232265,0.69464365,0.06399487,0.09957574999999999,0.009870249999999999,0.30535644,65490
California_1992,0,1,24.22,1,1,1,14,1,30875920.0,0.031877300000000004,0.6938489999999999,0.06328713999999999,0.10187959999999999,0.009857199999999998,0.30615108,66253
California_1993,0,1,24.63,1,1,1,15,1,31147208.0,0.03143195000000001,0.6930543499999999,0.06257940999999999,0.10418344999999998,0.009844149999999998,0.30694572000000003,63086
California_1994,1,1,25.04,1,1,1,0,0,31317179.0,0.030986600000000006,0.6922596999999999,0.061871679999999984,0.10648729999999998,0.009831099999999997,0.30774036000000005,64078
California_1995,1,1,25.45,1,1,1,0,0,31493525.0,0.030541250000000006,0.6914650499999999,0.06116394999999998,0.10879114999999998,0.009818049999999997,0.30853500000000006,65542
California_1996,1,1,25.86,1,1,1,0,0,31780829.0,0.030095900000000005,0.6906703999999999,0.06045621999999998,0.11109499999999997,0.009804999999999996,0.3093296400000001,66952
California_1997,1,1,26.27,1,1,1,0,0,32217708.0,0.029650550000000005,0.6898757499999999,0.059748489999999974,0.11339884999999997,0.009791949999999995,0.3101242800000001,67025
California_1998,1,1,26.68,1,1,1,0,0,32682794.0,0.029205200000000004,0.6890810999999999,0.05904075999999997,0.11570269999999996,0.009778899999999995,0.3109189200000001,68195
California_1999,1,1,27.09,1,1,1,6,1,33145121.0,0.028759850000000003,0.6882864499999999,0.058333029999999966,0.11800654999999996,0.009765849999999994,0.3117135600000001,71169
California_2000,1,1,27.5,1,1,1,0,0,33987977.0,0.0283145,0.6874918,0.0576253,0.1203104,0.0097528,0.3125082,73862
California_2001,1,1,29.1,1,1,1,20,2,34479458.0,0.0316201,0.6815527,0.0513344,0.1212867,0.0076377,0.3184473,72501
California_2002,1,1,27.9,1,1,1,8,1,34871843.0,0.0385103,0.6558834,0.0481154,0.1294094,0.0079676,0.3441166,71640
California_2003,1,1,29.8,1,1,1,0,0,35253159.0,0.0411812,0.6732795,0.0485725,0.1279434,0.0085109,0.3267205,72801
California_2004,1,1,31.7,1,1,1,10,1,35574576.0,0.0356506,0.6577736,0.050278,0.1276442,0.0083971,0.3422264,70773
California_2005,1,1,30.6,1,1,1,0,0,35827943.0,0.0338445,0.6359616,0.0501396,0.1298296,0.0080505,0.3640384,71977
California_2006,1,1,29.0,1,1,1,8,1,36021202.0,0.0306748,0.6261979,0.0526028,0.1308302,0.0084461,0.3738022,74518
California_2007,1,1,29.5,1,1,1,0,0,36250311.0,0.0314262,0.6275212,0.0526098,0.132585,0.0084608,0.3724789,73007
California_2008,1,1,29.6,1,1,1,13,1,36604337.0,0.0353285,0.6474538,0.0528542,0.1355916,0.0092479,0.3525461,71921
California_2009,1,1,29.9,1,1,1,0,0,36961229.0,0.0546482,0.6442366,0.0534807,0.1368077,0.0089947,0.3557634,71058
California_2010,1,1,30.1,1,1,1,0,0,37319550.0,0.0617067,0.6435527,0.0526555,0.1421366,0.0085662,0.3564472,67600
California_2011,1,1,30.3,1,1,1,23,3,37636311.0,0.0582497,0.6423406,0.0552264,0.1429819,0.0096581,0.3576594,64428
