deaths,injuries,date,state,url,year
3,5,"November 2, 2018 5:37 p.m. (UTC−04:00)",Florida,/wiki/2018_Tallahassee_shooting,2018
13,16,"November 7, 2018 (2018-11-07) 11:18 – 11:38 p.m. PST (UTC−8)",California,/wiki/Thousand_Oaks_shooting,2018
6,7,"February 15, 2019 (2019-02-15) 1:24 – 2:59 p.m.[1] (CST, UTC−6)",Illinois,"/wiki/Aurora,_Illinois_shooting",2019
10,27,"August 4, 2019 (2019-08-04) c. 1:05 – 1:06 a.m. (EDT UTC−04:00)",Ohio,/wiki/2019_Dayton_shooting,2019
23,23,"August 3, 2019 (2019-08-03) 10:39 – 10:45 a.m. (MDT UTC−06:00)",Texas,/wiki/2019_El_Paso_shooting,2019
4,1,"November 17, 2019",California,/wiki/2019_Fresno_shooting,2019
4,19,"July 28, 2019 (2019-07-28) 5:40 – 5:45 p.m.[1] (PDT (UTC−7))",California,/wiki/Gilroy_Garlic_Festival_shooting,2019
2,5,"January 28, 2019 (2019-01-28)",Texas,/wiki/Harding_Street_raid,2019
3,4,"August 25, 2019 c. 1:00 a.m.",New Mexico,"/wiki/Hobbs,_New_Mexico_party_shooting",2019
6,3,"December 10, 2019 c. 12:20 – 3:45 p.m.[1] (EST; UTC−05:00)",New Jersey,/wiki/2019_Jersey_City_shooting,2019
5,0,"January 26, 2019",Louisiana,/wiki/January_2019_Louisiana_shootings,2019
4,8,"December 6, 2019 (2019-12-06) 6:51 – 7:45 a.m. (ET UTC−05:00)",Florida,/wiki/Naval_Air_Station_Pensacola_shooting,2019
5,4,"October 31, 2019 (2019-10-31) 10:30 p.m[1] (PDT)",California,/wiki/Orinda_shooting,2019
1,3,"April 27, 2019 (2019-04-27) 11:23 a.m. (PDT)",California,/wiki/Poway_synagogue_shooting,2019
3,3,"November 14, 2019 7:38 a.m. (PST UTC−08:00)",California,/wiki/2019_Saugus_High_School_shooting,2019
5,0,"January 23, 2019",Florida,/wiki/2019_Sebring_shooting,2019
1,8,"May 7, 2019; 4 years ago (2019-05-07) 1:53 pm (MDT (UTC−6))",Colorado,/wiki/2019_STEM_School_Highlands_Ranch_shooting,2019
2,4,"April 30, 2019 (2019-04-30) 5:40 p.m[1] (EDT)",North Carolina,/wiki/2019_University_of_North_Carolina_at_Charlotte_shooting,2019
13,4,"May 31, 2019 (2019-05-31) 4:08 – 4:44 p.m.[1] (EDT (UTC−4)",Virginia,/wiki/2019_Virginia_Beach_shooting,2019
6,0,"December 8, 2020",Virginia,/wiki/2020_Williamsburg_massacre,2020
7,0,"September 7, 2020",California,/wiki/Aguanga_shooting,2020
2,2,"November 21, 2020",Nebraska,"/wiki/2020_Bellevue,_Nebraska_shooting",2020
3,3,"December 26, 2020",Illinois,/wiki/Don_Carter_Lanes_shooting,2020
4,1,"November 3, 2020 11:00 – 11:24 a.m. (PST)",Nevada,/wiki/2020_Henderson_shooting,2020
4,1,"January 17, 2020 (2020-01-17) c. 1:00 – c. 6:15 p.m. (MST)",Utah,/wiki/Killing_of_the_Haynie_family,2020
0,8,"November 20, 2020 (2020-11-20) 2:50 PM (CST)",Wisconsin,/wiki/Mayfair_Mall_shooting,2020
6,0,"February 26, 2020 2:10 p.m.",Wisconsin,/wiki/Milwaukee_brewery_shooting,2020
2,14,"September 19, 2020 12:25 a.m.",Pennsylvania,/wiki/Rochester_shooting,2020
5,2,"March 15, 2020 11:24 – 11:43 p.m. (CST)",Missouri,"/wiki/2020_Springfield,_Missouri_shooting",2020
7,0,"June 5, 2020",Alabama,/wiki/Valhermoso_Springs_shooting,2020
1,21,"August 9, 2020 1:00 a.m.",Washington,"/wiki/2020_Washington,_D.C.,_block_party_shooting",2020
8,1,"March 16, 2021 (2021-03-16) c. 4:50 p.m. EDT (20:50 UTC)",Georgia,/wiki/2021_Atlanta_spa_shootings,2021
0,6,"November 15, 2021",Colorado,/wiki/Aurora_Central_High_School_shooting,2021
2,4,"October 25, 2021",Idaho,/wiki/Boise_Towne_Square_shooting,2021
10,2,"March 22, 2021 (2021-03-22) c. 2:30 – 3:28 p.m. (MDT)",Colorado,/wiki/2021_Boulder_shooting,2021
1,5,"April 8, 2021",Texas,/wiki/Bryan_shooting,2021
1,4,"February 9, 2021 (2021-02-09) c. 10:52 – 11:00 a.m. (CST)",Minnesota,"/wiki/Buffalo,_Minnesota_clinic_attack",2021
2,14,"September 23, 2021 (2021-09-23) c. 1:30 – c. 1:34 p.m. (CDT)",Tennessee,/wiki/Collierville_Kroger_shooting,2021
7,0,"May 9, 2021 (2021-05-09) 12:18 a.m. (MDT)",Colorado,/wiki/2021_Colorado_Springs_shooting,2021
5,2,"December 27, 2021",Colorado,/wiki/2021_Denver_shootings,2021
5,2,"January 9, 2021",Illinois,/wiki/2021_Evanston_shooting,2021
3,20,"May 30, 2021",Florida,/wiki/2021_Hialeah_shooting,2021
9,7,"April 15, 2021 (2021-04-15) c. 11:00[1] – c. 11:04 p.m.[2] (UTC-4)",Indiana,/wiki/Indianapolis_FedEx_shooting,2021
4,2,"September 5, 2021",Florida,"/wiki/2021_Lakeland,_Florida_shooting",2021
0,3,"October 6, 2021",Texas,/wiki/Mansfield_Timberview_High_School_shooting,2021
6,1,"February 2, 2021 1:30 a.m. (CST)",Oklahoma,/wiki/2021_Muskogee_shooting,2021
3,3,"August 31, 2021",Illinois,/wiki/2021_Normal_shooting,2021
0,8,"February 18, 2021",Pennsylvania,/wiki/Olney_Transportation_Center_shooting,2021
4,2,"March 31, 2021 (2021-03-31) 5:30 p.m. PDT",California,"/wiki/2021_Orange,_California_office_shooting",2021
4,7,"November 30, 2021 (2021-11-30) c. 12:51[a] – c. 12:55 p.m.[5] (EST)",Michigan,/wiki/2021_Oxford_High_School_shooting,2021
0,8,"May 14, 2021",Rhode Island,/wiki/2021_Providence_shooting,2021
6,0,"April 7, 2021 (2021-04-07) 4:45 p.m. EDT (20:45 UTC)",South Carolina,/wiki/2021_Rock_Hill_shooting,2021
10,0,"May 26, 2021 (2021-05-26) c. 6:30[1] – 6:43 a.m.[2] (PDT)",California,/wiki/2021_San_Jose_shooting,2021
3,3,"February 2, 2021 6:04 a.m.",Florida,"/wiki/2021_Sunrise,_Florida_shootout",2021
4,0,"May 24, 2021",North Carolina,/wiki/West_Jefferson_shooting,2021
3,2,"August 28, 2022 c. 7:00 – 7:08 p.m. (PDT)",Oregon,"/wiki/2022_Bend,_Oregon_shooting",2022
10,3,"May 14, 2022 (2022-05-14) c. 2:30 – 2:36 p.m. (EDT; UTC−04:00)",New York,/wiki/2022_Buffalo_shooting,2022
3,7,"October 24, 2022 (2022-10-24) 9:11 – 9:25 a.m. (CDT)",Missouri,/wiki/2022_Central_Visual_and_Performing_Arts_High_School_shooting,2022
3,14,"June 5, 2022 (2022-06-05)",Tennessee,/wiki/2022_Chattanooga_shooting,2022
7,4,"November 22, 2022 (2022-11-22) c. 10:12 – 10:16 p.m. (EST（UTC−05:00）)",Virginia,/wiki/2022_Chesapeake_shooting,2022
5,26,"November 19–20, 2022 c. 11:56 p.m.[1] – 12:02 a.m. (MST)",Colorado,/wiki/Colorado_Springs_nightclub_shooting,2022
0,14,"April 16, 2022",South Carolina,/wiki/Columbiana_Centre_shooting,2022
1,26,"March 19, 2022",Arkansas,/wiki/Dumas_shooting,2022
2,2,"July 19, 2022",Montana,/wiki/East_Glacier_Park_Village_attack,2022
4,2,"July 17, 2022 5:56 p.m. (EDT)",Indiana,/wiki/Greenwood_Park_Mall_shooting,2022
7,48,"July 4, 2022 (2022-07-04) 10:14 a.m. CDT (UTC–05:00)",Illinois,/wiki/Highland_Park_parade_shooting,2022
3,4,"June 30, 2022 c. 6:44 p.m.[1]",Kentucky,/wiki/2022_shooting_of_Kentucky_police_officers,2022
1,5,"May 15, 2022 (2022-05-15) c. 1:26 p.m. (PDT)",California,/wiki/2022_Laguna_Woods_shooting,2022
2,8,"May 19, 2022 (2022-05-19) 10:40 – c. 11:30 p.m. (CDT; UTC−05:00)",Illinois,/wiki/Magnificent_Mile_shooting,2022
0,29,"April 12, 2022 (2022-04-12) c. 8:24 a.m. (EDT)",New York,/wiki/2022_New_York_City_Subway_attack,2022
1,5,"February 19, 2022 c. 8:00 pm (PST)",Oregon,/wiki/Normandale_Park_shooting,2022
1,5,"September 28, 2022; 8 months ago (2022-09-28)c. 12:40 p.m.",California,/wiki/2022_Oakland_school_shooting,2022
3,11,"June 4, 2022 (2022-06-04)  (EST)",Pennsylvania,/wiki/2022_Philadelphia_shooting,2022
2,14,"April 17, 2022 (1 years ago)",Pennsylvania,/wiki/2022_Pittsburgh_shooting,2022
22,18,"May 24, 2022 (12 months ago) (2022-05-24) 11:28 a.m. – 12:50 p.m. (UTC−05:00)",Texas,/wiki/Robb_Elementary_School_shooting,2022
6,12,"April 3, 2022 (2022-04-03) c. 2:00 a.m. (PDT)",California,/wiki/2022_Sacramento_shooting,2022
5,1,"June 1, 2022",Oklahoma,/wiki/2022_Tulsa_hospital_shooting,2022
3,2,"November 13, 2022; 6 months ago (2022-11-13) c. 10:30 p.m. (EST)",Virginia,/wiki/2022_University_of_Virginia_shooting,2022
0,6,"January 14, 2022",Oregon,/wiki/W.O.W._Hall_shooting,2022
4,3,"April 18, 2023 (2023-04-18)",Maine,/wiki/2023_Bowdoin%E2%80%93Yarmouth_shootings,2023
4,32,"April 15, 2023 (2023-04-15) 10:34 p.m. (CST)",Alabama,/wiki/2023_Dadeville_shooting,2023
9,7,"May 6, 2023 (2023-05-06) 3:36 p.m. (UTC−5)",Texas,"/wiki/2023_Allen,_Texas_outlet_mall_shooting",2023
1,4,"May 3, 2023; 26 days ago (2023-05-03) c. 12:00 p.m. (UTC−4)",Georgia,/wiki/2023_Atlanta_shooting,2023
3,4,"January 28, 2023 (2023-01-28) c. 2:30 a.m. (UTC−7)",California,/wiki/2023_Beverly_Crest_shooting,2023
5,0,"April 28, 2023 (2023-04-28) 11:31 p.m. (CDT; UTC–5[1])",Texas,"/wiki/2023_Cleveland,_Texas_shooting",2023
1,3,"February 15, 2023",Texas,/wiki/2023_El_Paso_shooting,2023
4,10,"May 15, 2023 (2023-05-15) 10:56 a.m.-11:06 a.m. (UTC−6)",New Mexico,"/wiki/2023_Farmington,_New_Mexico_shooting",2023
6,0,"January 16, 2023 (2023-01-16) c. 3:30 a.m. (PST, UTC-8)",California,/wiki/2023_Goshen_shooting,2023
8,0,"January 4, 2023 (2023-01-04)  (MST)",Utah,/wiki/Killing_of_the_Haight_family,2023
7,1,"January 23, 2023 (2023-01-23) c. 2:20 p.m. (PST)",California,/wiki/2023_Half_Moon_Bay_shootings,2023
6,8,"April 10, 2023; 48 days ago (2023-04-10) 8:36[1] – 8:45 a.m. (EDT; UTC−04:00)",Kentucky,/wiki/2023_Louisville_bank_shooting,2023
4,5,"February 13, 2023; 3 months ago (2023-02-13) 8:18 p.m. – 11:35 p.m.[1] (EST)",Michigan,/wiki/2023_Michigan_State_University_shooting,2023
12,9,"January 21, 2023 (2023-01-21) c. 10:22 p.m.[1] (PST, UTC-8)",California,/wiki/2023_Monterey_Park_shooting,2023
7,1,"March 27, 2023 10:11 – 10:27 a.m. (CDT; UTC−05:00)",Tennessee,/wiki/2023_Nashville_school_shooting,2023
