deaths,injuries,date,state,url,year
6,14,"April 4, 1991; 32 years ago (1991-04-04) 2:00 p.m. – 10:00 p.m.",California,/wiki/1991_Sacramento_hostage_crisis,1991
6,1,"November 1, 1991 3:42 – 3:52 p.m. (CST)",Iowa,/wiki/University_of_Iowa_shooting,1991
9,0,"August 9–10, 1991",Arizona,/wiki/Waddell_Buddhist_temple_shooting,1991
2,4,"December 14, 1992 (1992-12-14)c. 10:20 p.m.",Massachusetts,/wiki/Bard_College_at_Simon%27s_Rock_shooting,1992
4,2,"June 20, 1992",Texas,/wiki/Brownstone_Lane_murders,1992
4,10,"May 1, 1992 2:40 – c. 11:30 p.m. (PST)",California,/wiki/Lindhurst_High_School_shooting,1992
2,4,"December 14, 1992 (1992-12-14)c. 10:20 p.m.",Massachusetts,/wiki/Wayne_Lo,1992
9,6,"July 1, 1993 2:57 p.m.",California,/wiki/101_California_Street_shooting,1993
4,1,"December 14, 1993 10:00 p.m. (MST)",Colorado,"/wiki/1993_Aurora,_Colorado_shooting",1993
7,0,"January 8, 1993; 30 years ago (1993-01-08)",Illinois,/wiki/Brown%27s_Chicken_massacre,1993
2,3,"January 25, 1993 c. 8:00 am (EST)",Virginia,/wiki/CIA_headquarters_shooting,1993
5,1,2001 (for the murders),Iowa,/wiki/1993_Iowa_murders,2001
6,19,"December 7, 1993  (EST)",New York,/wiki/1993_Long_Island_Rail_Road_shooting,1993
4,8,"August 6, 1993 (1993-08-06)  (UTC−04:00)",North Carolina,/wiki/Luigi%27s_Restaurant_shooting,1993
5,22,20 June 1994 (1994-06-20)  (PDT),Washington,/wiki/Fairchild_Air_Force_Base_shooting,1994
3,1,"April 15, 1994 c. 11:30 p.m. (CT)",Alabama,/wiki/1994_Popeyes_murders,1994
1,4,"November 7, 1994 (1994-11-07)",Ohio,/wiki/Wickliffe_Middle_School_shooting,1994
7,3,June 1995,New Jersey,/wiki/Darnell_Collins,1995
8,4,"December 8, 1995",New York,/wiki/Freddy%27s_Fashion_Mart_attack,1995
3,1,"February 2, 1996  (UTC-8)",Washington,/wiki/Frontier_Middle_School_shooting,1996
2,2,"February 6, 1996; 27 years ago (1996-02-06) c. 7:00 a.m. – c. 2:30 p.m. (UTC-10)",Hawaii,/wiki/1996_Honolulu_hostage_crisis,1996
5,3,"April 25, 1996",Mississippi,/wiki/1996_Jackson_firehouse_shooting,1996
2,2,"February 19, 1997",Alaska,/wiki/1997_Bethel_Regional_High_School_shooting,1997
2,6,23 February 1997; 26 years ago (1997-02-23) 5:00 pm (UTC-5),New York,/wiki/1997_Empire_State_Building_shooting,1997
3,5,"December 1, 1997 7:45 a.m. (CST)",Kentucky,/wiki/1997_Heath_High_School_shooting,1997
3,7,"October 1, 1997  (UTC-6)",Mississippi,/wiki/1997_Pearl_High_School_shooting,1997
5,1,"November 13, 1997",Texas,/wiki/Coy_Wayne_Wesbrook,1997
5,0,March 1998,Connecticut,/wiki/Connecticut_Lottery_shooting,1998
1,3,"April 24, 1998",Pennsylvania,/wiki/1998_Parker_Middle_School_dance_shooting,1998
4,25,"Murder of parents:May 20, 1998 (1998-05-20)Shooting:May 21, 1998 (1998-05-21) 7:55 a.m. (PST)",Oregon,/wiki/Thurston_High_School_shooting,1998
5,5,"July 5, 1998",Washington,/wiki/Trang_Dai_massacre,1998
2,3,"July 24, 1998; 24 years ago (1998-07-24) 3:40 p.m. – 3:45 p.m. (UTC-4)",Washington,/wiki/1998_United_States_Capitol_shooting,1998
5,10,"March 24, 1998 c. 12:40 p.m. (Central Time)",Arkansas,/wiki/1998_Westside_Middle_School_shooting,1998
13,13,"July 27–29, 1999",Georgia,/wiki/1999_Atlanta_day_trading_firm_shootings,1999
15,24,"April 20, 1999; 24 years ago (1999-04-20) 11:19 a.m. – 12:08 p.m. (MDT)",Colorado,/wiki/Columbine_High_School_massacre,1999
0,4,"December 6, 1999",Oklahoma,/wiki/Fort_Gibson_Middle_School_shooting,1999
